鄉鎮市區,村里,納稅單位,合計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
新莊區,思賢里,1289,1035253,8480,17395,876404,43575,10117,2594,992,64408,758,7182,0,3349,709504,868689,791
新莊區,中美里,1714,1407971,17013,19267,1062783,73256,36877,4013,1074,134445,168,51133,196,7745,856158,1201318,1642
新莊區,中和里,1434,1165036,52560,10030,856973,47276,26179,2395,1176,131408,253,10351,710,25725,687987,996050,2080
新莊區,中泰里,1242,810458,11764,6257,676974,31720,13562,2450,981,57946,2,7026,341,1435,530387,663799,1457
新莊區,立言里,1743,1393659,10280,27269,1139853,57755,15498,2726,1890,122730,281,12582,248,2547,924183,1177956,1666
新莊區,立功里,1014,649378,9677,5916,544857,26163,8895,1240,580,45039,121,5011,0,1879,424462,528983,776
新莊區,立德里,851,843835,7184,14649,596170,35869,40226,1732,690,132138,4718,7369,226,2864,492038,740089,826
新莊區,豐年里,1123,788351,8798,9261,646592,24163,11668,1095,631,79486,0,6033,122,501,508528,650165,853
新莊區,忠孝里,1544,1221249,17800,17121,935254,48627,24322,3035,3019,155997,587,13132,399,1954,751353,1038377,1968
新莊區,立志里,1191,938491,13547,12554,752411,33934,14987,3434,895,97635,226,6003,0,2865,607570,793664,528
新莊區,中誠里,689,638958,8838,4329,424814,18647,12707,697,410,162702,377,5108,0,326,340690,555465,230
新莊區,自立里,1509,1049803,13309,8847,888444,31000,15099,3018,1085,74422,447,10163,117,3852,701714,862624,1215
新莊區,自強里,658,393675,7284,3302,341220,12177,4180,830,247,21862,0,2306,0,268,260872,313327,559
新莊區,幸福里,1275,783059,9690,6168,684044,23633,8740,1208,2131,41131,0,5323,0,990,528201,627216,209
新莊區,仁愛里,794,462146,14493,3634,398663,14616,3023,346,307,22321,0,4201,0,543,304113,367596,295
新莊區,信義里,1693,1225128,17423,9123,1016812,36592,31689,5080,953,91215,54,12713,196,3277,804207,1012513,1109
新莊區,龍鳳里,2378,2043384,35744,27353,1648081,55564,18388,10300,3128,209112,1005,18256,1035,15418,1334705,1733065,3264
新莊區,民安里,1750,1303354,22904,9100,1061962,55403,26616,3503,1151,104962,1034,13742,106,2874,829658,1070945,929
新莊區,光華里,2055,1506486,19920,11667,1227407,42760,23017,3700,1326,159459,123,14038,0,3070,957188,1236983,625
新莊區,富國里,786,478805,14483,8695,392908,16683,11047,1000,305,28287,0,3891,165,1343,299242,385144,829
新莊區,裕民里,2031,1408734,18749,8354,1143924,46005,37683,3112,1253,132049,374,11350,196,5688,893711,1158405,1865
新莊區,南港里,1641,1170030,20123,8384,953951,37517,17105,3107,950,115162,393,11711,51,1577,745364,961434,831
新莊區,萬安里,1177,770769,9177,5850,654636,22518,8893,1553,608,53330,5260,7491,52,1402,506964,622944,637
新莊區,八德里,952,612489,6908,7956,502885,20169,21155,1774,715,37934,26,11306,163,1499,388069,497708,646
新莊區,民本里,920,529022,8401,3068,454205,14030,10532,569,637,33992,74,3020,0,494,343864,418681,352
新莊區,光榮里,1247,896726,9568,8422,753455,26395,5719,2706,732,76625,0,6880,0,6226,586199,729470,768
新莊區,光明里,1317,886072,14053,7253,733347,19506,15786,2035,765,77545,84,14119,0,1578,559529,712254,109
新莊區,合鳳里,1326,817700,15846,3568,697568,23872,7602,2389,1159,57324,0,5690,0,2682,535892,656327,724
新莊區,雙鳳里,3301,2917840,32984,29457,2375056,75495,40670,18114,5586,298690,5063,25189,353,11184,1937930,2483370,3369
新莊區,和平里,1585,1085648,15029,7841,892886,35937,13899,2505,2595,97986,54,11369,182,5365,694681,887771,1084
新莊區,自信里,722,581748,6271,10250,472925,21347,16305,851,881,46877,217,4397,665,760,381688,490510,1485
新莊區,全泰里,1797,1729588,8266,20493,1294985,71087,57483,3841,4307,251224,1009,13484,1114,2295,1072557,1507133,3801
新莊區,立泰里,1575,1206333,13713,15575,983201,44041,16983,2389,1371,118130,1627,8351,0,951,786124,1009842,904
新莊區,立基里,2077,2026628,15183,23394,1477990,78732,48131,7038,4402,340462,2960,21621,343,6373,1216606,1766896,2831
新莊區,中宏里,1118,888423,15280,7941,743604,28556,8364,891,876,68114,745,9890,211,3951,598722,743415,1094
新莊區,中全里,1050,688427,9815,5193,577801,19368,4934,1308,650,61431,590,5854,0,1483,445750,556377,654
新莊區,中華里,834,722118,5669,14532,577129,24657,24250,4022,712,61915,0,6216,124,2892,472876,617840,1302
新莊區,中隆里,1310,1151971,12909,8551,916404,40230,14378,4875,1292,119055,165,9438,838,23834,742948,978343,2483
新莊區,中原里,2830,2289252,28402,21831,1917758,73874,40416,6412,2404,166350,3711,20900,316,6879,1537699,1909228,1821
新莊區,中信里,2653,2129861,23541,22441,1797391,66087,18742,4740,2966,163659,2477,22220,527,5069,1447288,1781002,2430
